Sales_Rep,Business,Age,Female,Years,College,Personality,Certficates,Feedback,Salary,NPS
157,Software,21,0,2,Yes,Analyst,4,1.52,46000,3
158,Software,27,1,2,Yes,Analyst,1,4.00,51600,7
159,Software,35,1,1,Yes,Diplomat,5,2.19,75000,7
160,Software,53,1,6,Yes,Explorer,3,1.79,71400,6
161,Software,37,1,2,Yes,Sentinel,3,2.89,62600,4
162,Software,41,0,2,Yes,Analyst,3,2.10,72000,4
163,Hardware,52,0,1,Yes,Diplomat,2,3.02,126000,9
164,Hardware,42,0,2,No,Diplomat,2,2.13,67000,5
165,Hardware,36,0,1,Yes,Diplomat,6,3.21,129000,10
166,Software,29,0,2,Yes,Explorer,2,3.02,75000,7
167,Software,39,1,1,Yes,Sentinel,4,1.99,55200,7
168,Software,25,1,2,Yes,Explorer,4,2.25,60000,4
169,Software,26,1,1,Yes,Explorer,3,2.87,66800,7
170,Software,38,1,4,Yes,Explorer,4,1.44,80400,10
171,Software,43,1,2,Yes,Sentinel,0,1.32,51400,3
172,Software,48,1,1,Yes,Sentinel,2,2.55,60400,3
173,Software,22,0,1,Yes,Explorer,0,2.23,35000,4
174,Software,54,0,5,Yes,Explorer,0,3.55,65000,5
175,Hardware,61,0,1,Yes,Explorer,3,4.00,96000,9
176,Software,41,1,1,No,Analyst,3,3.92,65800,7
177,Software,31,1,1,Yes,Sentinel,1,2.00,46800,3
178,Hardware,24,1,2,Yes,Explorer,3,3.85,68200,9
179,Software,33,1,1,Yes,Analyst,5,1.38,60400,7
180,Software,25,1,2,Yes,Explorer,1,2.3,45000,3
181,Hardware,39,1,1,Yes,Diplomat,3,4.00,104200,7
182,Software,50,1,7,No,Diplomat,3,3.24,62000,10
183,Software,38,0,2,Yes,Diplomat,1,3.01,65000,7
184,Hardware,48,0,10,Yes,Explorer,4,4.00,134000,8
185,Hardware,41,0,2,Yes,Analyst,1,4.00,62000,5
186,Software,37,0,2,No,Explorer,1,2.79,51000,4
187,Software,51,1,1,Yes,Explorer,1,1.62,89800,5
188,Hardware,35,0,2,Yes,Analyst,6,4.00,90000,8
189,Software,44,1,2,Yes,Diplomat,3,2.09,81200,5
190,Software,46,1,2,No,Diplomat,1,1.63,63800,3
191,Software,29,0,2,No,Sentinel,3,2.86,37000,3
192,Software,40,0,4,Yes,Diplomat,2,1.27,61000,10
193,Hardware,41,0,2,Yes,Explorer,3,2.65,94000,6
194,Hardware,32,0,2,Yes,Explorer,0,3.38,68000,5
195,Hardware,32,0,2,Yes,Sentinel,1,4.00,54000,5
196,Software,34,1,2,Yes,Diplomat,2,2.59,75200,6
197,Hardware,40,0,10,No,Explorer,5,3.82,94000,9
198,Software,38,0,1,Yes,Explorer,3,1.89,87000,5
199,Software,44,0,5,Yes,Sentinel,6,2.97,161000,10
200,Software,54,0,2,Yes,Diplomat,1,3.10,79000,5
201,Hardware,58,0,1,No,Sentinel,4,1.82,62000,6
202,Software,29,0,2,Yes,Explorer,2,1.93,53000,4
203,Hardware,37,1,6,Yes,Diplomat,0,4.00,86600,7
204,Hardware,25,0,1,No,Analyst,5,2.61,48000,6
205,Hardware,41,0,1,Yes,Sentinel,2,3.68,83000,5
206,Hardware,33,0,2,Yes,Diplomat,4,2.66,73000,6
207,Hardware,40,0,2,Yes,Analyst,4,4.00,96000,9
208,Software,34,0,2,Yes,Diplomat,3,1.59,91000,10
209,Hardware,48,0,8,Yes,Analyst,1,3.02,82000,5
210,Software,49,0,1,Yes,Diplomat,4,3.57,100000,10
211,Software,36,0,1,Yes,Diplomat,3,1.99,79000,7
212,Software,54,1,1,No,Diplomat,5,3.96,76200,10
213,Software,55,1,2,Yes,Explorer,5,1.50,84000,8
214,Software,29,1,2,Yes,Diplomat,0,1.95,49200,5
215,Hardware,52,0,2,Yes,Diplomat,2,4.00,123000,8
216,Hardware,62,0,1,Yes,Sentinel,2,4.00,111000,7
217,Software,37,0,1,Yes,Explorer,4,2.86,63000,7
218,Software,55,1,2,No,Diplomat,2,2.29,72000,4
219,Hardware,47,0,5,No,Analyst,0,4.00,74000,3
220,Software,38,0,1,No,Explorer,3,2.25,87000,7
221,Software,32,1,1,Yes,Analyst,4,2.91,53600,6
222,Hardware,34,1,1,Yes,Explorer,6,2.60,94200,8
223,Software,24,1,1,Yes,Explorer,3,3.37,73200,10
224,Software,25,1,2,Yes,Explorer,2,3.69,64000,5
225,Software,30,0,7,Yes,Sentinel,4,2.06,67000,6
226,Software,28,1,1,Yes,Sentinel,4,2.10,53400,5
227,Software,40,0,2,No,Sentinel,4,2.90,56000,8
228,Hardware,34,1,4,Yes,Diplomat,1,1.93,57200,7
229,Software,28,0,1,Yes,Explorer,2,3.23,42000,4
230,Software,31,1,7,No,Explorer,1,2.76,55800,7
231,Hardware,55,0,2,Yes,Diplomat,3,3.29,84000,7
232,Software,30,1,3,Yes,Explorer,2,2.5,58000,5
233,Hardware,46,0,7,Yes,Explorer,6,4.00,182000,8
234,Hardware,54,0,2,Yes,Explorer,3,3.52,116000,9
235,Software,32,1,3,No,Explorer,1,1.29,54600,7
236,Software,56,1,1,No,Explorer,2,1.66,64800,6
237,Software,42,1,2,Yes,Explorer,5,2.05,92600,10
238,Hardware,62,0,2,Yes,Explorer,1,3.68,84000,6
239,Software,34,0,1,Yes,Diplomat,3,3.47,109000,6
240,Hardware,54,1,9,Yes,Diplomat,3,2.04,78200,9
241,Hardware,48,0,2,Yes,Explorer,3,2.56,77000,10
242,Hardware,56,0,1,Yes,Diplomat,4,3.06,105000,6
243,Software,26,0,2,Yes,Diplomat,3,3.32,89000,7
244,Hardware,58,1,4,Yes,Analyst,1,1.12,57400,4
245,Software,23,0,1,Yes,Sentinel,4,2.18,48000,6
246,Hardware,42,1,1,Yes,Explorer,3,1.40,75600,3
247,Software,25,1,1,Yes,Explorer,5,3.39,78000,8
248,Hardware,62,0,6,Yes,Explorer,5,4.00,139000,9
249,Hardware,32,1,2,Yes,Diplomat,0,4.00,68600,5
250,Software,44,1,1,Yes,Analyst,1,1.70,52200,5
251,Software,50,0,2,Yes,Diplomat,2,1.87,80000,10
252,Hardware,54,0,1,No,Diplomat,3,2.05,76000,5
253,Hardware,34,0,2,Yes,Diplomat,1,1.61,63000,5
254,Software,45,1,1,Yes,Sentinel,3,2.61,60000,6
255,Software,52,0,1,Yes,Analyst,3,4.00,107000,8
256,Hardware,25,0,2,Yes,Explorer,6,4.00,91000,9
257,Hardware,32,0,1,No,Explorer,0,2.85,35000,3
258,Hardware,41,0,1,Yes,Diplomat,1,1.86,58000,5
259,Hardware,54,0,4,Yes,Explorer,1,3.79,109000,7
260,Software,48,0,2,Yes,Diplomat,5,3.13,124000,8
261,Software,37,1,1,No,Diplomat,3,3.08,45600,4
262,Hardware,45,0,7,Yes,Sentinel,3,1.43,53000,6
263,Software,32,0,1,Yes,Analyst,3,1.44,44000,4
264,Hardware,36,1,2,Yes,Explorer,0,3.02,65800,3
265,Software,55,1,1,Yes,Explorer,5,2.37,55000,5
266,Software,56,0,1,Yes,Explorer,3,1.71,84000,5
267,Software,31,1,1,Yes,Analyst,3,2.92,49800,5
268,Hardware,33,0,2,Yes,Explorer,4,2.83,97000,9
269,Software,57,0,1,Yes,Analyst,1,3.34,53000,4
270,Software,47,0,2,Yes,Explorer,4,3.62,112000,7
271,Hardware,43,1,2,Yes,Diplomat,3,3.4,82400,5
272,Software,27,0,1,Yes,Explorer,3,2.20,95000,6
273,Software,44,1,2,No,Diplomat,2,2.05,45200,4
274,Software,26,0,1,Yes,Diplomat,3,3.89,51000,6
275,Software,39,1,1,No,Diplomat,1,3.65,74200,6
276,Hardware,25,0,2,Yes,Explorer,4,1.85,73000,9
277,Software,44,0,7,Yes,Analyst,1,3.09,66000,4
278,Software,44,0,2,Yes,Explorer,3,1.15,94000,8
279,Hardware,26,1,2,No,Sentinel,2,3.31,47800,5
280,Software,51,0,1,Yes,Explorer,2,1.17,73000,4
281,Software,32,0,5,Yes,Diplomat,3,1.12,78000,4
282,Hardware,40,1,1,Yes,Sentinel,1,2.32,56000,3
283,Software,50,0,1,Yes,Diplomat,1,2.73,75000,6
284,Hardware,34,1,2,No,Sentinel,1,2.05,37200,2
285,Software,54,1,1,No,Explorer,5,2.46,107200,9
286,Hardware,24,0,7,No,Explorer,3,1.82,54000,8
287,Hardware,58,0,3,No,Diplomat,1,4.00,76000,5
288,Software,42,0,1,Yes,Explorer,2,3.78,89000,6
289,Hardware,33,0,1,Yes,Diplomat,3,3.16,72000,8
290,Software,37,1,2,Yes,Explorer,4,1.89,114600,8
291,Hardware,36,0,1,Yes,Diplomat,3,2.11,101000,9
292,Software,36,0,2,Yes,Explorer,0,1.48,65000,3
293,Software,47,1,6,Yes,Explorer,5,2.53,101600,9
294,Hardware,56,1,7,No,Diplomat,1,4.00,59800,6
295,Software,49,1,9,Yes,Explorer,0,3.41,51200,4
296,Hardware,52,1,4,Yes,Explorer,2,2.94,68600,5
297,Software,51,1,2,No,Explorer,2,2.19,75800,5
298,Hardware,31,0,2,Yes,Explorer,6,2.43,79000,10
299,Hardware,30,0,2,Yes,Explorer,4,1.62,80000,6
300,Hardware,46,1,1,No,Explorer,3,1.96,56800,6
301,Software,23,0,4,Yes,Explorer,3,2.43,50000,8
302,Hardware,52,0,1,Yes,Sentinel,2,1.67,65000,4
303,Software,31,0,1,Yes,Explorer,2,2.21,74000,6
304,Software,39,1,2,Yes,Diplomat,2,3.83,87200,8
305,Software,36,0,1,Yes,Diplomat,2,1.19,69000,4
306,Software,26,1,3,Yes,Explorer,1,3.82,62800,6
307,Software,29,0,2,Yes,Analyst,2,3.91,53000,6
308,Hardware,54,1,3,Yes,Diplomat,0,3.66,60200,9
309,Software,28,0,1,Yes,Analyst,3,2.33,41000,4
310,Hardware,25,0,2,No,Sentinel,3,3.73,59000,6
311,Software,51,0,1,Yes,Explorer,5,3.28,83000,6
312,Hardware,50,1,5,No,Diplomat,0,3.90,67000,7
313,Software,36,1,2,Yes,Analyst,5,3.16,70800,5
314,Hardware,59,0,1,Yes,Explorer,1,3.47,70000,7
315,Hardware,35,0,5,Yes,Explorer,1,1.25,53000,5
316,Software,49,1,2,Yes,Sentinel,4,2.49,87200,8
317,Software,29,0,5,Yes,Explorer,3,2.00,92000,6
318,Software,49,0,2,No,Explorer,5,3.12,107000,8
319,Hardware,53,0,2,Yes,Analyst,4,3.63,65000,3
320,Hardware,60,0,1,No,Analyst,3,2.12,65000,4
321,Software,31,1,1,Yes,Explorer,5,3.68,87800,10
322,Software,56,1,1,Yes,Explorer,1,1.26,61800,6
323,Software,49,0,2,Yes,Diplomat,1,2.11,67000,5
324,Software,23,0,1,Yes,Diplomat,3,2.96,53000,5
325,Software,41,0,2,Yes,Analyst,0,1.46,55000,3
326,Hardware,49,1,3,Yes,Diplomat,1,2.76,56200,4
327,Hardware,44,0,7,No,Diplomat,4,3.67,107000,8
328,Software,40,0,3,Yes,Explorer,4,3.57,108000,8
329,Hardware,53,0,1,Yes,Explorer,2,2.24,74000,4
330,Hardware,48,1,9,Yes,Sentinel,0,4.00,72400,3
331,Hardware,56,0,2,Yes,Explorer,2,3.88,101000,9
332,Hardware,47,0,2,No,Explorer,3,2.57,95000,8
333,Hardware,26,1,6,No,Sentinel,5,3.35,59800,7
334,Hardware,59,1,1,Yes,Diplomat,3,2.92,99200,9
335,Hardware,33,1,1,Yes,Explorer,1,2.44,62400,5
336,Hardware,50,1,2,Yes,Explorer,2,2.90,88000,9
337,Software,35,1,1,Yes,Diplomat,3,3.19,76000,6
338,Hardware,25,1,1,Yes,Analyst,2,2.60,49000,5
339,Hardware,26,0,7,Yes,Explorer,2,2.46,57000,5
340,Hardware,28,0,2,Yes,Explorer,1,3.71,85000,9
341,Hardware,49,1,1,Yes,Diplomat,1,3.66,90200,7
342,Software,55,0,2,No,Sentinel,2,2.88,48000,5
343,Software,22,1,1,Yes,Sentinel,5,2.26,71600,4
344,Hardware,64,1,3,Yes,Explorer,4,4.00,102200,9
345,Hardware,42,0,1,No,Explorer,3,1.83,87000,5
346,Hardware,38,0,2,Yes,Diplomat,2,3.22,79000,6
347,Software,53,0,1,Yes,Diplomat,2,3.56,60000,8
348,Hardware,56,0,1,Yes,Explorer,1,4.00,102000,8
349,Software,47,0,2,Yes,Explorer,5,1.66,95000,9
350,Hardware,30,0,1,Yes,Explorer,4,2.61,62000,7
351,Hardware,59,0,1,No,Diplomat,2,2.59,57000,3
352,Hardware,46,0,7,Yes,Explorer,4,2.54,96000,9
353,Hardware,45,0,1,Yes,Explorer,1,3.63,83000,5
354,Software,36,0,2,Yes,Diplomat,6,3.19,146000,10
355,Hardware,50,0,1,Yes,Diplomat,4,2.49,84000,7
356,Software,35,0,2,Yes,Explorer,5,1.81,108000,9
357,Hardware,35,0,1,Yes,Sentinel,2,3.61,76000,5
358,Hardware,32,0,1,Yes,Explorer,1,3.21,59000,5
359,Hardware,32,0,3,No,Explorer,2,3.02,70000,6
360,Software,45,0,1,Yes,Explorer,1,3.58,93000,7
361,Software,52,0,1,Yes,Analyst,1,3.95,57000,5
362,Software,24,0,2,Yes,Diplomat,4,2.90,85000,10
363,Software,49,0,2,Yes,Diplomat,4,3.97,94000,9
364,Hardware,31,0,5,No,Sentinel,1,1.77,30000,2
365,Hardware,44,1,2,Yes,Sentinel,6,3.58,102200,6
366,Software,44,1,1,Yes,Sentinel,3,3.94,87200,4
367,Hardware,45,1,7,Yes,Sentinel,2,3.61,43000,3
368,Software,32,0,1,Yes,Explorer,3,3.43,80000,5
369,Hardware,36,0,1,No,Diplomat,5,2.68,89000,9
370,Hardware,43,0,2,Yes,Diplomat,3,2.72,90000,5
371,Hardware,46,0,8,Yes,Explorer,0,1.14,68000,7
372,Hardware,41,0,2,Yes,Diplomat,2,4.00,71000,8
373,Software,23,1,2,Yes,Analyst,4,1.72,44400,4
374,Hardware,29,1,1,Yes,Diplomat,3,3.32,79200,9
375,Hardware,45,0,2,Yes,Diplomat,2,2.33,75000,6
376,Software,47,0,2,Yes,Explorer,4,3.64,143000,9
377,Software,30,0,1,No,Explorer,6,2.52,53000,6
378,Hardware,30,0,2,Yes,Sentinel,2,3.25,52000,6
379,Hardware,51,0,2,Yes,Sentinel,4,4.00,119000,8
380,Software,46,1,2,Yes,Explorer,2,1.29,53800,6
381,Software,23,0,2,No,Sentinel,4,1.89,51000,4
382,Hardware,33,0,2,No,Sentinel,2,2.07,28000,4
383,Software,26,0,6,Yes,Explorer,5,2.6,62000,7
384,Hardware,59,1,2,Yes,Sentinel,2,4.00,75200,7
385,Software,37,0,11,Yes,Sentinel,4,2.29,75000,9
386,Hardware,40,0,1,Yes,Explorer,3,3.46,92000,8
387,Software,54,0,2,Yes,Sentinel,3,3.50,66000,9
388,Hardware,26,0,1,Yes,Explorer,1,1.18,50000,4
389,Software,41,1,1,Yes,Analyst,2,3.95,73800,5
390,Software,41,0,1,No,Diplomat,1,2.16,46000,5
391,Software,29,1,5,Yes,Explorer,3,1.27,61200,9
392,Software,35,0,2,Yes,Diplomat,1,1.51,61000,4
393,Hardware,30,0,1,Yes,Analyst,2,1.16,47000,2
394,Software,50,0,1,Yes,Sentinel,2,3.37,78000,5
395,Software,52,0,2,Yes,Sentinel,4,2.8,72000,4
396,Software,30,0,1,Yes,Explorer,2,3.21,64000,8
397,Hardware,28,0,6,No,Diplomat,1,2.75,57000,9
398,Hardware,43,0,2,No,Diplomat,6,2.52,105000,8
399,Hardware,26,1,1,Yes,Explorer,1,1.57,57800,6
400,Software,25,1,1,Yes,Analyst,4,2.20,57000,7
401,Software,42,0,2,Yes,Explorer,3,2.31,69000,6
402,Hardware,59,1,2,Yes,Analyst,5,2.09,48200,6
403,Hardware,55,0,1,No,Diplomat,4,1.38,98000,8
404,Software,30,0,1,Yes,Explorer,5,3.01,105000,6
405,Software,28,1,1,Yes,Diplomat,1,3.56,69400,8
406,Software,27,0,2,Yes,Diplomat,5,2.27,55000,10
407,Hardware,61,1,1,Yes,Explorer,4,4.00,83800,8
408,Software,48,0,1,Yes,Explorer,5,2.88,102000,8
409,Hardware,29,0,9,Yes,Diplomat,0,1.77,57000,4
410,Software,50,1,1,Yes,Explorer,2,3.54,84000,8
411,Software,49,0,3,Yes,Diplomat,2,2.71,93000,7
412,Hardware,44,0,1,Yes,Diplomat,1,3.08,64000,2
413,Software,45,0,2,Yes,Diplomat,2,1.76,82000,6
414,Software,48,0,2,Yes,Explorer,1,4.00,88000,8
415,Hardware,59,0,2,No,Explorer,2,3.48,48000,3
416,Hardware,41,1,6,Yes,Diplomat,5,1.24,103800,10
417,Hardware,45,0,2,Yes,Analyst,1,1.75,77000,3
418,Hardware,62,0,1,Yes,Diplomat,5,3.31,127000,7
419,Software,42,1,1,Yes,Explorer,2,2.02,69600,5
420,Software,42,0,2,Yes,Diplomat,2,2.41,112000,7
421,Hardware,28,0,6,Yes,Diplomat,5,3.98,101000,9
422,Software,27,1,1,Yes,Explorer,1,2.93,69600,6
423,Hardware,26,0,2,Yes,Explorer,2,2.43,67000,6
424,Software,50,0,6,Yes,Explorer,5,1.38,117000,8
425,Hardware,65,0,2,Yes,Diplomat,4,1.43,76000,10
426,Software,36,0,1,Yes,Diplomat,2,3.97,91000,8
427,Hardware,58,0,1,Yes,Diplomat,0,2.24,66000,5
428,Hardware,31,0,1,Yes,Sentinel,1,1.86,43000,3
429,Hardware,53,0,5,Yes,Diplomat,2,2.24,79000,4
430,Hardware,26,1,2,Yes,Analyst,3,2.41,49800,4
431,Software,22,0,3,No,Explorer,1,2.69,43000,5
432,Software,48,1,1,No,Diplomat,2,1.59,43400,6
433,Software,54,1,2,Yes,Diplomat,3,3.01,90200,7
434,Software,35,1,1,Yes,Analyst,5,3.24,99000,8
